basic info,basic info,basic info,basic info,basic info,basic info,basic info,description,description,description,description
section,title,loc,institution,start,end,in_resume,description_1,description_2,description_3,description_4
education,"Ph.D., Dr. rer. nat., Artificial Intelligence Structural Biology",Technical University of Munich,"Munich, Germany",2017,2020,TRUE,"biological - protein science, evolutionary biology","computational - deep learning, statistics",specifics - deep learning for predicting protein interaction sites,
education,"M.Eng., Software Engineering and Computational Biology",Beijing Forestry University,"Beijing, China",2016,2014,TRUE,biological - genetics,"computational - algorithm design,  web application development",specifics - mathematical modelling for quantitative trait loci (QTLs) detection,
education,"B.S.Mgt.Sci., Accounting (minor dual-degree)",Nanjing Tech University,"Nanjing, China",2011,2014,TRUE,economics,,,
education,"B.Sci., Information and Computer Science (i.e., Computational Mathematics)",Nanjing Tech University,"Nanjing, China",2010,2014,TRUE,mathematics,statistics,programming,
research_experience,Postdoctoral Researcher in Single-cell Sequencing Analysis,University of Oxford,"Oxford, United Kingdom",2021,2025,TRUE,"biological - transcriptomics, protein science","computational - deep learning, statistics",duty - computational analysis of single-cell data in sarcoma diseases and algorithm design for accurate long-read sequencing technology,
research_experience,Post-doctoral Studies in Transmembrane Proteome Analysis,Technical University of Munich,"Munich, Germany",2020,2021,TRUE,"biological - protein isoforms, mutations, variants, interaction sites","computational - machine learning, statistics",duty - Occurrences of mutation sites and interaction sites in the human transmembrane proteome,
professional_service,"Full member of Sigma XI, The Scientific Research Honor Society",Oxford,"Oxford, United Kingdom",2024,,TRUE,,,,
professional_service,Young Editorial Member of iMeta,Oxford,"Oxford, United Kingdom",2024,,TRUE,,,,
thesis,Prediction of residue contacts and interaction sites in transmembrane proteins using deep learning,Technical University of Munich,"Munich, Germany",2020,2021,TRUE,Ph.D. Defense,committee chairman - Prof. Bernhard Küster,examiner - Prof. Burkhard Rost,link - https://mediatum.ub.tum.de/doc/1577512
funding,Cancer Research UK (CRUK) Oxford Development Fund,University of Oxford,"Oxford, United Kingdom",2023,2024,TRUE,Project Title - Single-cell spliceosome map establishment of immune cells,Award Ref - CRUKDF-MAY23–AC/JS,,
